bash: warning: setlocale: LC_ALL: cannot change locale (en_US.UTF-8)
[TensorBoard] Logging enabled: parallel_experiments/HalfCheetah-v2_20250728_044213/seed_1/tensorboard_logs
[INFO] View training progress: tensorboard --logdir parallel_experiments/HalfCheetah-v2_20250728_044213/seed_1/tensorboard_logs
[TensorBoard] Using TensorBoard for training logging
{   'action_dim': 6,
    'alpha': 0.7,
    'batch_size': 128,
    'beta_zero': 0.5,
    'buffer_size': 1000000,
    'crossover_prob': 0.0,
    'device': device(type='cuda'),
    'distil': False,
    'distil_type': 'fitness',
    'elite_fraction': 0.1,
    'env_name': 'HalfCheetah-v2',
    'frac_frames_train': 1.0,
    'gamma': 0.99,
    'individual_bs': 8000,
    'learn_start': 15627.0,
    'log_freq': 10,
    'log_weights': False,
    'ls': 128,
    'mutation_batch_size': 256,
    'mutation_mag': 0.05,
    'mutation_noise': False,
    'mutation_prob': 0.9,
    'next_save': 200,
    'ns': False,
    'ns_epochs': 10,
    'num_evals': 1,
    'num_frames': 6000000,
    'opstat': False,
    'opstat_freq': 1,
    'per': False,
    'pop_size': 10,
    'proximal_mut': False,
    'render': False,
    'replace_old': True,
    'rl_to_ea_synch_period': 10,
    'save_foldername': 'parallel_experiments/HalfCheetah-v2_20250728_044213/seed_1',
    'save_periodic': False,
    'seed': 1,
    'state_dim': 17,
    'tau': 0.001,
    'tensorboard_dir': None,
    'test_operators': False,
    'total_steps': 6000000,
    'use_done_mask': True,
    'use_ln': True,
    'use_tensorboard': True,
    'verbose_crossover': False,
    'verbose_mut': False}
Running HalfCheetah-v2  State_dim: 17  Action_dim: 6
#Games: 11 #Frames: 11000  Train_Max: 207.39  Test_Score: 224.12  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 120.41  PG Loss: -2.9278

#Games: 22 #Frames: 22000  Train_Max: 190.03  Test_Score: 201.42  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 1203.07  PG Loss: -10.1556

#Games: 33 #Frames: 33000  Train_Max: 235.78  Test_Score: 207.50  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 215.57  PG Loss: -19.9446

#Games: 44 #Frames: 44000  Train_Max: 465.23  Test_Score: 467.66  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 2298.41  PG Loss: -35.9784

#Games: 55 #Frames: 55000  Train_Max: 466.55  Test_Score: 450.93  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 2343.70  PG Loss: -53.6747

#Games: 66 #Frames: 66000  Train_Max: 441.68  Test_Score: 443.28  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 2381.49  PG Loss: -71.9148

#Games: 77 #Frames: 77000  Train_Max: 618.49  Test_Score: 607.12  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 2507.71  PG Loss: -90.2545

#Games: 88 #Frames: 88000  Train_Max: 633.29  Test_Score: 618.20  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 2484.06  PG Loss: -107.2530

#Games: 99 #Frames: 99000  Train_Max: 608.68  Test_Score: 626.99  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 2913.10  PG Loss: -124.1942

Sync from RL --> Nevo
#Games: 110 #Frames: 110000  Train_Max: 652.88  Test_Score: 637.47  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 3113.37  PG Loss: -140.7315

#Games: 121 #Frames: 121000  Train_Max: 3114.00  Test_Score: 3131.32  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 2956.56  PG Loss: -158.8301

#Games: 132 #Frames: 132000  Train_Max: 3108.12  Test_Score: 3122.09  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 3353.89  PG Loss: -176.6370

#Games: 143 #Frames: 143000  Train_Max: 3135.07  Test_Score: 3125.54  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 3479.31  PG Loss: -192.8879

#Games: 154 #Frames: 154000  Train_Max: 3099.10  Test_Score: 3112.06  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 3280.66  PG Loss: -208.0807

#Games: 165 #Frames: 165000  Train_Max: 3114.70  Test_Score: 3110.51  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 3816.83  PG Loss: -222.0539

#Games: 176 #Frames: 176000  Train_Max: 3163.26  Test_Score: 3113.71  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 4103.79  PG Loss: -234.5851

#Games: 187 #Frames: 187000  Train_Max: 3100.07  Test_Score: 3115.65  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 4054.84  PG Loss: -246.2775

#Games: 198 #Frames: 198000  Train_Max: 3157.36  Test_Score: 3123.39  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 4076.55  PG Loss: -258.9736

#Games: 209 #Frames: 209000  Train_Max: 3136.78  Test_Score: 3121.82  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 4478.59  PG Loss: -272.9088

Progress Saved
Sync from RL --> Nevo
#Games: 220 #Frames: 220000  Train_Max: 3089.10  Test_Score: 3088.44  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 4462.51  PG Loss: -285.1773

#Games: 231 #Frames: 231000  Train_Max: 4464.72  Test_Score: 4499.84  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 4918.05  PG Loss: -297.0874

