bash: warning: setlocale: LC_ALL: cannot change locale (en_US.UTF-8)
[TensorBoard] Logging enabled: parallel_experiments/HalfCheetah-v2_standard_20250729_145817/seed_3/tensorboard_logs
[INFO] View training progress: tensorboard --logdir parallel_experiments/HalfCheetah-v2_standard_20250729_145817/seed_3/tensorboard_logs
[TensorBoard] Using TensorBoard for training logging
{   'action_dim': 6,
    'alpha': 0.7,
    'batch_size': 128,
    'beta_zero': 0.5,
    'buffer_size': 1000000,
    'crossover_prob': 0.0,
    'device': device(type='cuda'),
    'distil': True,
    'distil_type': 'fitness',
    'elite_fraction': 0.1,
    'env_name': 'HalfCheetah-v2',
    'frac_frames_train': 1.0,
    'gamma': 0.99,
    'individual_bs': 8000,
    'learn_start': 15627.0,
    'log_freq': 10,
    'log_weights': False,
    'ls': 128,
    'mutation_batch_size': 256,
    'mutation_mag': 0.05,
    'mutation_noise': False,
    'mutation_prob': 0.9,
    'next_save': 200,
    'ns': False,
    'ns_epochs': 10,
    'num_evals': 1,
    'num_frames': 6000000,
    'opstat': False,
    'opstat_freq': 1,
    'per': False,
    'pop_size': 10,
    'proximal_mut': True,
    'render': False,
    'replace_old': True,
    'rl_to_ea_synch_period': 10,
    'save_foldername': 'parallel_experiments/HalfCheetah-v2_standard_20250729_145817/seed_3',
    'save_periodic': False,
    'seed': 3,
    'state_dim': 17,
    'tau': 0.001,
    'tensorboard_dir': None,
    'test_operators': False,
    'total_steps': 6000000,
    'use_done_mask': True,
    'use_ln': True,
    'use_tensorboard': True,
    'verbose_crossover': False,
    'verbose_mut': False}
Running HalfCheetah-v2  State_dim: 17  Action_dim: 6
#Games: 11 #Frames: 11000  Train_Max: 94.59  Test_Score: 59.56  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: -280.71  PG Loss: -4.0814

#Games: 22 #Frames: 22000  Train_Max: 437.57  Test_Score: 417.38  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: -312.77  PG Loss: -12.4024

#Games: 33 #Frames: 33000  Train_Max: 512.95  Test_Score: 451.72  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 1391.26  PG Loss: -20.8017

#Games: 44 #Frames: 44000  Train_Max: 711.80  Test_Score: 729.00  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 1079.60  PG Loss: -30.4689

#Games: 55 #Frames: 55000  Train_Max: 727.48  Test_Score: 734.52  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 1462.78  PG Loss: -40.3075

#Games: 66 #Frames: 66000  Train_Max: 899.54  Test_Score: 886.37  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 2230.22  PG Loss: -51.8831

#Games: 77 #Frames: 77000  Train_Max: 937.24  Test_Score: 883.76  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 2850.50  PG Loss: -61.9084

#Games: 88 #Frames: 88000  Train_Max: 1392.74  Test_Score: 1366.43  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 2708.06  PG Loss: -75.2957

#Games: 99 #Frames: 99000  Train_Max: 1378.50  Test_Score: 1366.96  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 2766.44  PG Loss: -90.2571

Sync from RL --> Nevo
#Games: 110 #Frames: 110000  Train_Max: 1354.85  Test_Score: 1347.37  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 3100.19  PG Loss: -107.7820

#Games: 121 #Frames: 121000  Train_Max: 3103.07  Test_Score: 3095.74  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 2635.46  PG Loss: -125.1009

