[TensorBoard] Logging enabled: parallel_experiments/Reacher-v2_20250724_145146/seed_7/tensorboard_logs
[INFO] View training progress: tensorboard --logdir parallel_experiments/Reacher-v2_20250724_145146/seed_7/tensorboard_logs
[TensorBoard] Using TensorBoard for training logging
{   'action_dim': 2,
    'alpha': 0.7,
    'batch_size': 128,
    'beta_zero': 0.5,
    'buffer_size': 1000000,
    'crossover_prob': 0.0,
    'device': device(type='cuda'),
    'distil': False,
    'distil_type': 'fitness',
    'elite_fraction': 0.2,
    'env_name': 'Reacher-v2',
    'frac_frames_train': 1.0,
    'gamma': 0.99,
    'individual_bs': 8000,
    'learn_start': 15627.0,
    'log_freq': 10,
    'log_weights': False,
    'ls': 128,
    'mutation_batch_size': 256,
    'mutation_mag': 0.05,
    'mutation_noise': False,
    'mutation_prob': 0.9,
    'next_save': 200,
    'ns': False,
    'ns_epochs': 10,
    'num_evals': 3,
    'num_frames': 2000000,
    'opstat': False,
    'opstat_freq': 1,
    'per': False,
    'pop_size': 10,
    'proximal_mut': False,
    'render': False,
    'replace_old': True,
    'rl_to_ea_synch_period': 10,
    'save_foldername': 'parallel_experiments/Reacher-v2_20250724_145146/seed_7',
    'save_periodic': False,
    'seed': 7,
    'state_dim': 11,
    'tau': 0.001,
    'tensorboard_dir': None,
    'test_operators': False,
    'total_steps': 2000000,
    'use_done_mask': True,
    'use_ln': True,
    'use_tensorboard': True,
    'verbose_crossover': False,
    'verbose_mut': False}
Running Reacher-v2  State_dim: 11  Action_dim: 2
#Games: 31 #Frames: 1550  Train_Max: -9.04  Test_Score: -8.75  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -9.66  PG Loss: 0.6137

#Games: 62 #Frames: 3100  Train_Max: -9.50  Test_Score: -8.96  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -11.71  PG Loss: 0.9026

#Games: 93 #Frames: 4650  Train_Max: -9.29  Test_Score: -10.11  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -7.97  PG Loss: 1.0764

#Games: 124 #Frames: 6200  Train_Max: -7.03  Test_Score: -10.68  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -10.42  PG Loss: 1.2797

#Games: 155 #Frames: 7750  Train_Max: -8.70  Test_Score: -9.67  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -10.18  PG Loss: 1.4344

#Games: 186 #Frames: 9300  Train_Max: -7.56  Test_Score: -12.21  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -11.14  PG Loss: 1.5397

#Games: 217 #Frames: 10850  Train_Max: -7.75  Test_Score: -8.44  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -5.05  PG Loss: 1.6367

Progress Saved
#Games: 248 #Frames: 12400  Train_Max: -8.61  Test_Score: -9.53  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -6.79  PG Loss: 1.7674

#Games: 279 #Frames: 13950  Train_Max: -7.71  Test_Score: -8.66  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -6.57  PG Loss: 1.8575

Sync from RL --> Nevo
#Games: 310 #Frames: 15500  Train_Max: -9.41  Test_Score: -10.25  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -8.08  PG Loss: 2.0002

#Games: 341 #Frames: 17050  Train_Max: -8.06  Test_Score: -9.30  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -6.02  PG Loss: 2.1274

#Games: 372 #Frames: 18600  Train_Max: -7.88  Test_Score: -5.62  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -9.34  PG Loss: 2.2072

