[TensorBoard] Logging enabled: parallel_experiments/Swimmer-v2_20250725_044206/seed_1/tensorboard_logs
[INFO] View training progress: tensorboard --logdir parallel_experiments/Swimmer-v2_20250725_044206/seed_1/tensorboard_logs
[TensorBoard] Using TensorBoard for training logging
{   'action_dim': 2,
    'alpha': 0.7,
    'batch_size': 128,
    'beta_zero': 0.5,
    'buffer_size': 1000000,
    'crossover_prob': 0.0,
    'device': device(type='cuda'),
    'distil': False,
    'distil_type': 'fitness',
    'elite_fraction': 0.1,
    'env_name': 'Swimmer-v2',
    'frac_frames_train': 1.0,
    'gamma': 0.99,
    'individual_bs': 8000,
    'learn_start': 15627.0,
    'log_freq': 10,
    'log_weights': False,
    'ls': 128,
    'mutation_batch_size': 256,
    'mutation_mag': 0.05,
    'mutation_noise': False,
    'mutation_prob': 0.9,
    'next_save': 200,
    'ns': False,
    'ns_epochs': 10,
    'num_evals': 1,
    'num_frames': 2000000,
    'opstat': False,
    'opstat_freq': 1,
    'per': False,
    'pop_size': 10,
    'proximal_mut': False,
    'render': False,
    'replace_old': True,
    'rl_to_ea_synch_period': 10,
    'save_foldername': 'parallel_experiments/Swimmer-v2_20250725_044206/seed_1',
    'save_periodic': False,
    'seed': 1,
    'state_dim': 8,
    'tau': 0.001,
    'tensorboard_dir': None,
    'test_operators': False,
    'total_steps': 2000000,
    'use_done_mask': True,
    'use_ln': True,
    'use_tensorboard': True,
    'verbose_crossover': False,
    'verbose_mut': False}
Running Swimmer-v2  State_dim: 8  Action_dim: 2
#Games: 11 #Frames: 11000  Train_Max: 35.03  Test_Score: 36.19  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: -17.31  PG Loss: -1.9708

#Games: 22 #Frames: 22000  Train_Max: 81.79  Test_Score: 85.99  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 23.51  PG Loss: -7.1581

#Games: 33 #Frames: 33000  Train_Max: 89.52  Test_Score: 85.36  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 26.13  PG Loss: -13.4802

#Games: 44 #Frames: 44000  Train_Max: 82.89  Test_Score: 84.90  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 26.21  PG Loss: -19.7053

#Games: 55 #Frames: 55000  Train_Max: 140.23  Test_Score: 143.18  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 29.74  PG Loss: -24.8400

#Games: 66 #Frames: 66000  Train_Max: 141.85  Test_Score: 143.03  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 20.17  PG Loss: -28.4004

#Games: 77 #Frames: 77000  Train_Max: 148.48  Test_Score: 142.72  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 15.98  PG Loss: -31.7002

#Games: 88 #Frames: 88000  Train_Max: 144.39  Test_Score: 142.91  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 40.32  PG Loss: -33.0070

#Games: 99 #Frames: 99000  Train_Max: 157.09  Test_Score: 165.73  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 105.35  PG Loss: -32.8916

Sync from RL --> Nevo
#Games: 110 #Frames: 110000  Train_Max: 158.09  Test_Score: 155.39  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 152.91  PG Loss: -32.8856

#Games: 121 #Frames: 121000  Train_Max: 168.15  Test_Score: 161.35  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 55.33  PG Loss: -33.3779

#Games: 132 #Frames: 132000  Train_Max: 169.14  Test_Score: 161.74  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 90.64  PG Loss: -34.5524

