[TensorBoard] Logging enabled: parallel_experiments/Swimmer-v2_20250725_044206/seed_7/tensorboard_logs
[INFO] View training progress: tensorboard --logdir parallel_experiments/Swimmer-v2_20250725_044206/seed_7/tensorboard_logs
[TensorBoard] Using TensorBoard for training logging
{   'action_dim': 2,
    'alpha': 0.7,
    'batch_size': 128,
    'beta_zero': 0.5,
    'buffer_size': 1000000,
    'crossover_prob': 0.0,
    'device': device(type='cuda'),
    'distil': False,
    'distil_type': 'fitness',
    'elite_fraction': 0.1,
    'env_name': 'Swimmer-v2',
    'frac_frames_train': 1.0,
    'gamma': 0.99,
    'individual_bs': 8000,
    'learn_start': 15627.0,
    'log_freq': 10,
    'log_weights': False,
    'ls': 128,
    'mutation_batch_size': 256,
    'mutation_mag': 0.05,
    'mutation_noise': False,
    'mutation_prob': 0.9,
    'next_save': 200,
    'ns': False,
    'ns_epochs': 10,
    'num_evals': 1,
    'num_frames': 2000000,
    'opstat': False,
    'opstat_freq': 1,
    'per': False,
    'pop_size': 10,
    'proximal_mut': False,
    'render': False,
    'replace_old': True,
    'rl_to_ea_synch_period': 10,
    'save_foldername': 'parallel_experiments/Swimmer-v2_20250725_044206/seed_7',
    'save_periodic': False,
    'seed': 7,
    'state_dim': 8,
    'tau': 0.001,
    'tensorboard_dir': None,
    'test_operators': False,
    'total_steps': 2000000,
    'use_done_mask': True,
    'use_ln': True,
    'use_tensorboard': True,
    'verbose_crossover': False,
    'verbose_mut': False}
Running Swimmer-v2  State_dim: 8  Action_dim: 2
#Games: 11 #Frames: 11000  Train_Max: 45.75  Test_Score: 46.27  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 39.11  PG Loss: -3.0910

#Games: 22 #Frames: 22000  Train_Max: 46.09  Test_Score: 45.48  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 22.61  PG Loss: -8.1808

#Games: 33 #Frames: 33000  Train_Max: 46.04  Test_Score: 44.33  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 3.45  PG Loss: -14.3153

#Games: 44 #Frames: 44000  Train_Max: 42.89  Test_Score: 44.20  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 25.65  PG Loss: -21.6546

#Games: 55 #Frames: 55000  Train_Max: 46.16  Test_Score: 43.76  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 13.89  PG Loss: -25.9142

#Games: 66 #Frames: 66000  Train_Max: 65.74  Test_Score: 68.39  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 15.07  PG Loss: -29.2418

#Games: 77 #Frames: 77000  Train_Max: 64.65  Test_Score: 66.87  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 23.71  PG Loss: -30.5178

#Games: 88 #Frames: 88000  Train_Max: 136.09  Test_Score: 132.35  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 29.78  PG Loss: -32.5813

#Games: 99 #Frames: 99000  Train_Max: 131.07  Test_Score: 132.38  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 28.53  PG Loss: -34.6433

Sync from RL --> Nevo
#Games: 110 #Frames: 110000  Train_Max: 134.61  Test_Score: 133.99  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 16.06  PG Loss: -35.6087

#Games: 121 #Frames: 121000  Train_Max: 185.56  Test_Score: 184.36  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: -1.85  PG Loss: -36.9015

#Games: 132 #Frames: 132000  Train_Max: 183.08  Test_Score: 184.18  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 15.48  PG Loss: -38.5290

